"Series";"Time";"Value"
"CPU0";"2020-03-26T11:00:00";78
"CPU0";"2020-03-26T11:00:00";77
"CPU0";"2020-03-26T11:00:00";79
"CPU0";"2020-03-26T11:30:00";78
"CPU0";"2020-03-26T11:30:00";77
"CPU0";"2020-03-26T11:30:00";79
"CPU0";"2020-03-26T12:00:00";80
"CPU0";"2020-03-26T12:00:00";78
"CPU0";"2020-03-26T12:00:00";77
"CPU0";"2020-03-26T12:00:00";79
"CPU0";"2020-03-26T12:30:00";78
"CPU0";"2020-03-26T12:30:00";79
"CPU0";"2020-03-26T12:30:00";80
"CPU0";"2020-03-26T13:00:00";78
"CPU0";"2020-03-26T13:00:00";79
"CPU0";"2020-03-26T13:00:00";80
"CPU0";"2020-03-26T13:30:00";78
"CPU0";"2020-03-26T13:30:00";79
"CPU0";"2020-03-26T13:30:00";80
"CPU0";"2020-03-26T14:00:00";80
"CPU0";"2020-03-26T14:00:00";78
"CPU0";"2020-03-26T14:00:00";79
"CPU0";"2020-03-26T14:30:00";79
"CPU0";"2020-03-26T14:30:00";78
"CPU0";"2020-03-26T14:30:00";81
"CPU0";"2020-03-26T14:30:00";80
"CPU0";"2020-03-26T15:00:00";80
"CPU0";"2020-03-26T15:00:00";79
"CPU0";"2020-03-26T15:00:00";81
"CPU0";"2020-03-26T15:30:00";79
"CPU0";"2020-03-26T15:30:00";80
"CPU0";"2020-03-26T15:30:00";81
"CPU0";"2020-03-26T16:00:00";80
"CPU0";"2020-03-26T16:00:00";79
"CPU0";"2020-03-26T16:00:00";81
"CPU0";"2020-03-26T16:30:00";79
"CPU0";"2020-03-26T16:30:00";80
"CPU0";"2020-03-26T16:30:00";81
"CPU0";"2020-03-26T16:30:00";78
"CPU0";"2020-03-26T17:00:00";78
"CPU0";"2020-03-26T17:00:00";81
"CPU0";"2020-03-26T17:00:00";79
"CPU0";"2020-03-26T17:00:00";80
"CPU0";"2020-03-26T17:30:00";79
"CPU0";"2020-03-26T17:30:00";81
"CPU0";"2020-03-26T17:30:00";80
"CPU0";"2020-03-26T17:30:00";78
"CPU0";"2020-03-26T18:00:00";80
"CPU0";"2020-03-26T18:00:00";79
"CPU0";"2020-03-26T18:00:00";78
"CPU0";"2020-03-26T18:00:00";81
"CPU0";"2020-03-26T18:30:00";79
"CPU0";"2020-03-26T18:30:00";80
"CPU0";"2020-03-26T18:30:00";81
"CPU0";"2020-03-26T18:30:00";78
"CPU0";"2020-03-26T19:00:00";80
"CPU0";"2020-03-26T19:00:00";78
"CPU0";"2020-03-26T19:00:00";79
"CPU0";"2020-03-26T19:00:00";81
"CPU0";"2020-03-26T19:30:00";79
"CPU0";"2020-03-26T19:30:00";78
"CPU0";"2020-03-26T19:30:00";80
"CPU0";"2020-03-26T20:00:00";79
"CPU0";"2020-03-26T20:00:00";80
"CPU0";"2020-03-26T20:00:00";78
"CPU0";"2020-03-26T20:30:00";79
"CPU0";"2020-03-26T20:30:00";78
"CPU0";"2020-03-26T20:30:00";80
"CPU0";"2020-03-26T21:00:00";78
"CPU0";"2020-03-26T21:00:00";79
"CPU0";"2020-03-26T21:00:00";80
"CPU0";"2020-03-26T21:30:00";80
"CPU0";"2020-03-26T21:30:00";78
"CPU0";"2020-03-26T21:30:00";79
"CPU0";"2020-03-26T22:00:00";78
"CPU0";"2020-03-26T22:00:00";80
"CPU0";"2020-03-26T22:00:00";79
"CPU0";"2020-03-26T22:00:00";81
"CPU0";"2020-03-26T22:30:00";78
"CPU0";"2020-03-26T22:30:00";79
"CPU0";"2020-03-26T22:30:00";80
"CPU0";"2020-03-26T23:00:00";79
"CPU0";"2020-03-26T23:00:00";78
"CPU0";"2020-03-26T23:00:00";80
"CPU0";"2020-03-26T23:30:00";80
"CPU0";"2020-03-26T23:30:00";78
