"Series";"Time";"Value"
"CPU0";"2019-08-27T15:12:00";76
"CPU0";"2019-08-27T15:14:00";76
"CPU0";"2019-08-27T15:16:00";77
"CPU0";"2019-08-27T15:18:00";75
"CPU0";"2019-08-27T15:20:00";77
"CPU0";"2019-08-27T15:20:00";75
"CPU0";"2019-08-27T15:22:00";75
"CPU0";"2019-08-27T15:24:00";76
"CPU0";"2019-08-27T15:26:00";75
"CPU0";"2019-08-27T15:28:00";76
"CPU0";"2019-08-27T15:30:00";75
"CPU0";"2019-08-27T15:32:00";74
"CPU0";"2019-08-27T15:32:00";76
"CPU0";"2019-08-27T15:34:00";74
"CPU0";"2019-08-27T15:34:00";75
"CPU0";"2019-08-27T15:36:00";76
"CPU0";"2019-08-27T15:38:00";75
"CPU0";"2019-08-27T15:40:00";76
"CPU0";"2019-08-27T15:40:00";77
"CPU0";"2019-08-27T15:42:00";75
"CPU0";"2019-08-27T15:44:00";77
"CPU0";"2019-08-27T15:44:00";75
"CPU0";"2019-08-27T15:46:00";75
"CPU0";"2019-08-27T15:46:00";74
"CPU0";"2019-08-27T15:48:00";76
"CPU0";"2019-08-27T15:48:00";75
"CPU0";"2019-08-27T15:50:00";74
"CPU0";"2019-08-27T15:50:00";75
"CPU0";"2019-08-27T15:52:00";76
"CPU0";"2019-08-27T15:54:00";75
"CPU0";"2019-08-27T15:56:00";76
"CPU0";"2019-08-27T15:56:00";75
"CPU0";"2019-08-27T15:58:00";75
"CPU0";"2019-08-27T16:00:00";74
"CPU0";"2019-08-27T16:00:00";76
"CPU0";"2019-08-27T16:02:00";75
